iter	RMSE
0	38.30809984
1	35.50897349
2	33.00366536
3	30.72138554
4	28.78595577
5	27.00491619
6	25.45328149
7	23.99602849
8	22.60064129
9	21.55117544
10	20.51595804
11	19.66551998
12	18.76648311
13	18.048267
14	17.38794179
15	16.82822188
16	16.27300232
17	15.83692878
18	15.43725778
19	14.99565486
20	14.57639555
21	14.27920407
22	13.87405526
23	13.62654981
24	13.31029521
25	13.12531261
26	12.93981978
27	12.76155939
28	12.58749463
29	12.41407794
30	12.32041815
31	12.23980233
32	12.17324438
33	12.07551592
34	11.98390571
35	11.88230481
36	11.77719699
37	11.65431892
38	11.54974291
39	11.41021714
40	11.28863322
41	11.20330541
42	11.14288437
43	11.0422337
44	10.92045433
45	10.8767051
46	10.8278
47	10.78360182
48	10.72512894
49	10.61542142
50	10.57361671
51	10.54156006
52	10.49473581
53	10.40962325
54	10.32786166
55	10.28698634
56	10.23373223
57	10.21037625
58	10.15049972
59	10.1126304
60	10.05513337
61	10.03145897
62	9.97886112
63	9.96386364
64	9.945952984
65	9.920794993
66	9.906010736
67	9.864289982
68	9.82443495
69	9.743458958
70	9.714451467
71	9.641096108
72	9.607550102
73	9.551439304
74	9.51452447
75	9.464530206
76	9.447274965
77	9.427317417
78	9.403573038
79	9.392646508
80	9.368408565
81	9.341714488
82	9.324391589
83	9.305711169
84	9.289877584
85	9.216235522
86	9.200570189
87	9.183578852
88	9.165344786
89	9.139456647
90	9.127953752
91	9.105344168
92	9.09030618
93	9.073375698
94	9.051975659
95	8.961272897
96	8.946343139
97	8.925236771
98	8.913614212
99	8.900535105
100	8.882467187
101	8.851066948
102	8.84760874
103	8.818357029
104	8.767451635
105	8.741273888
106	8.738222258
107	8.72419762
108	8.720667912
109	8.709212
110	8.695800906
111	8.657293685
112	8.623932436
113	8.57976928
114	8.574475463
115	8.561720643
116	8.556935827
117	8.537504917
118	8.532601247
119	8.529230683
120	8.498236833
121	8.486685078
122	8.462711457
123	8.427787469
124	8.396003145
125	8.387974496
126	8.359796548
127	8.350556407
128	8.323116304
129	8.286146947
130	8.235612445
131	8.223429021
132	8.217485139
133	8.199505338
134	8.189300689
135	8.183153268
136	8.140482675
137	8.117760537
138	8.074364113
139	8.039467998
140	8.036646962
141	8.012134095
142	7.942812649
143	7.911187288
144	7.903543686
145	7.893798092
146	7.869265158
147	7.827794937
148	7.821822011
149	7.803918002
150	7.799988865
151	7.785934869
152	7.778929155
153	7.776175099
154	7.751812514
155	7.749207462
156	7.702734193
157	7.698460702
158	7.64553141
159	7.568164005
160	7.564978819
161	7.544955461
162	7.516972065
163	7.463966081
164	7.447382117
165	7.424393916
166	7.403790156
167	7.389838431
168	7.38690004
169	7.379979746
170	7.320373255
171	7.317365057
172	7.295919958
173	7.29141195
174	7.26703772
175	7.265574293
176	7.240054755
177	7.238734845
178	7.235612778
179	7.233245013
180	7.229508311
181	7.228103382
182	7.225226806
183	7.197841299
184	7.169852637
185	7.150503852
186	7.149175992
187	7.130145267
188	7.126951646
189	7.096227185
190	7.081300281
191	7.078283288
192	7.076947404
193	7.076585097
194	7.074818483
195	7.023025115
196	7.015260378
197	7.000412284
198	6.954900357
199	6.953659362
